journals_cited,count,jif
Canadian Journal of Zoology,339,1.2
Conservation Biology,330,5.5
Ecology,241,4.3
Biological Conservation,227,4.4
The American Midland Naturalist,227,0.6
Canadian Journal of Fisheries and Aquatic Sciences,205,2.3
The Journal of Wildlife Management,195,1.9
Copeia,179,1.5
Science,177,45.8
Oecologia,162,2.3
Molecular Ecology,152,3.9
Ecological Applications,148,4.3
Journal of the Fisheries Research Board of Canada,128,2.3
Evolution,126,2.6
Nature,126,48.5
Canadian Journal of Botany,116,
BioScience,115,8.4
PLOS ONE,108,2.6
Proceedings of the National Academy of Sciences,108,9.1
The Condor,107,2.7
Transactions of the American Fisheries Society,107,1.4
The Auk,106,2.4
Molecular Phylogenetics and Evolution,105,3.6
American Journal of Botany,98,2.7
Oikos,98,3
The Canadian Field-Naturalist,96,
Journal of Animal Ecology,94,3.7
Journal of Mammalogy,86,1.6
Environmental Biology of Fishes,84,1.8
Journal of Fish Biology,82,2
