journals_cited,count
Canadian Journal of Zoology,339
Conservation Biology,330
Ecology,241
Biological Conservation,227
American Midland Naturalist,227
Canadian Journal of Fisheries and Aquatic Sciences,205
Journal of Wildlife Management,195
Copeia,179
Science,177
Oecologia,162
Molecular Ecology,152
Ecological Applications,148
Journal of the Fisheries Research Board of Canada,128
Evolution,126
Nature,126
Canadian Journal of Botany,116
BioScience,115
PLOS ONE,108
Proceedings of the National Academy of Sciences,108
Condor,107
Transactions of the American Fisheries Society,107
Auk,106
Molecular Phylogenetics and Evolution,105
American Journal of Botany,98
Oikos,98
Canadian Field-Naturalist,96
Journal of Animal Ecology,94
Journal of Mammalogy,86
Environmental Biology of Fishes,84
Journal of Fish Biology,82
Journal of Herpetology,80
Forest Ecology and Management,78
American Naturalist,78
Fisheries,75
Proceedings of the Royal Society B: Biological Sciences,75
Conservation Genetics,74
Marine Ecology Progress Series,72
Northeastern Naturalist,72
Journal of Applied Ecology,72
Journal of Great Lakes Research,71
Ecological Monographs,70
Environmental Pollution,67
Environmental Toxicology and Chemistry,63
Journal of Zoology,63
North American Journal of Fisheries Management,63
Canadian Entomologist,61
Ecography,60
Birds of North America Online,59
Biological Journal of the Linnean Society,58
TAXON,58
Trends in Ecology & Evolution,57
Animal Behaviour,56
Canadian Journal of Forest Research,56
Biological Invasions,55
Science of The Total Environment,55
ICES Journal of Marine Science,54
Journal of Biogeography,54
Journal of Wildlife Diseases,51
Bryologist,51
Environmental Management,49
New Phytologist,49
Écoscience,49
Freshwater Biology,48
Bulletin of the Torrey Botanical Club,47
ARCTIC,46
Blue Jay,46
Northwestern Naturalist,45
Global Change Biology,44
Journal of Ecology,44
Journal of Freshwater Ecology,44
Environmental Monitoring and Assessment,43
Hydrobiologia,43
Quarterly Review of Biology,43
Southwestern Naturalist,42
Archives of Environmental Contamination and Toxicology,41
Landscape Ecology,41
Journal of Parasitology,41
American Zoologist,40
Marine Biology,40
Marine Mammal Science,40
Wildlife Society Bulletin,39
Wetlands,38
Physiological Zoology,37
Forestry Chronicle,37
Brittonia,36
Systematic Zoology,35
Ecology of Freshwater Fish,33
Endangered Species Research,33
Journal of the North American Benthological Society,33
Animal Conservation,32
Biodiversity and Conservation,32
Environmental Science & Technology,32
Fisheries Research,32
Marine Pollution Bulletin,32
Restoration Ecology,32
Systematic Botany,32
Wilson Journal of Ornithology,32
Behavioral Ecology and Sociobiology,31
Diversity and Distributions,31
Fisheries Oceanography,31
Journal of the Marine Biological Association of the United Kingdom,31
Environmental Reviews,30
Journal of Field Ornithology,30
Molecular Ecology Notes,30
"Agriculture, Ecosystems & Environment",29
Avian Conservation and Ecology,29
Canadian Journal of Earth Sciences,29
Environmental Entomology,28
Functional Ecology,28
Journal of Heredity,28
Journal of Northwest Atlantic Fishery Science,28
Journal of Range Management,28
Mammalian Species,28
Systematic Biology,28
Wilson Bulletin,28
Annals of the Entomological Society of America,27
Annual Review of Ecology and Systematics,27
Ecology Letters,27
Economic Botany,27
Ibis,27
Biology Letters,26
Botany,26
Ecology and Evolution,26
Environmental Health Perspectives,26
Lichenologist,26
Ecological Entomology,25
Ecological Modelling,25
Limnology and Oceanography,25
Mammal Review,25
Waterbirds,25
Annals of the Missouri Botanical Garden,24
Fish and Fisheries,24
Polar Biology,24
Climatic Change,23
Ecosphere,23
Geophysical Research Letters,23
Heredity,23
