common,latin,n.years
American Hart’s-tongue fern,Asplenium scolopendrium var. americanum,13
American eel,Anguilla rostrata,2
American marten,Martes americana atrata,2
Atlantic Salmon,Salmo salar,40
Atlantic walrus Odobenus rosmarus rosmarus High Arctic population,Central-Low Arctic population,44
Baikal sedge,Carex sabulosa,6
Beluga Whale,Delphinapterus leucas,40
Bering cisco,Coregonus laurettae,9
Bird's-foot violet,Viola pedata,2
Black Swift,Cypseloides niger,23
Black redhorse,Moxostoma duquesnei,15
Blanding's Turtle,Emydoidea blandingii,29
Blue shark,Prionace glauca,12
Bluehearts,Buchnera americana,2
Bocaccio,Sebastes paucispinis,2
Boreal felt lichen,Erioderma pedicellatum,27
Broad-banded Forestsnail,Allogona profunda,20
Caribou,Rangifer tarandus,33
Carmine Shiner,Notropis percobromus,17
Cassin's Auklet,Ptychoramphus aleuticus,26
Channel Darter,Percina copelandi,21
Channel darter,Percina copelandi,2
Chestnut-collared Longspur,Calcarius ornatus,2
Coastal Vesper Sparrow,Pooecetes gramineus affinis,6
Coho salmon,Oncorhynchus kisutch,26
Columbia dune moth,Copablepharon absidum,4
Common Nighthawk,Chordeiles minor,22
Dromedary Jumping-slug,Hemphillia dromedarius,2
Eastern Box Turtle,Terrapene carolina,27
Ermine haidarum subspecies,Mustela erminea haidarum,26
Eulachon,Thaleichthys pacificus,2
Evening Grosbeak,Coccothraustes vespertinus,38
False-foxglove Sun Moth,Pyrrhia aurantiago,3
Fasicled Ironweed,Vernonia fasciculata,7
Gold-edged gem,Schinia avemensis,14
Gray Ratsnake,Pantherophis spiloides,23
Griscom's Arnica,Arnica griscomii ssp. griscomii,8
Harris’s sparrow,Zonotrichia querula,18
Kirtland's Warbler,Dendroica kirtlandii,2
Lake Erie watersnake,Nerodia sipedon insularum,22
Lake Huron grasshopper,Trimerotropis huroniana,4
Leiberg's fleabane,Erigeron leibergii,4
Limber Pine,Pinus flexilis,35
Little Quarry Lake benthic threespine stickleback,Gasterosteus aculeatus,27
Long’s bulrush,Scirpus longii,24
Louisiana waterthrush,Parkesia motacilla,20
Magdalen Islands Grasshopper,Melanoplus madeleineae,26
Mapleleaf,Quadrula quadrula,30
Massasauga,Sistrurus catenatus,2
McCown's longspur,Rhynchophanes mccownii,15
Monarch,Danaus plexippus,26
Mormon Metalmark,Apodemia mormo,2
Mountain Plover,Charadrius montanus,2
North Atlantic right whale,Eubalaena glacialis,2
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,7
Northern red-legged frog,Rana aurora,35
Nuttall's sheep moth,Hemileuca nuttalli,9
Olive-sided Flycatcher,Contopus cooperi,25
Ord’s kangaroo rat,Dipodomys ordii,44
Oregon Forestsnail,Allogona townsendiana,2
Peary caribou,Rangifer tarandus pearyi,35
Pink-footed Shearwater,Ardenna creatopus,18
Porsild's bryum,Haplodontium macrocarpum,32
Porter's twisted moss,Tortula porteri,17
Poweshiek Skipperling,Oarisma poweshiek,8
Prairie Skink,Plestiodon septentrionalis,12
Prairie rattlesnake,Crotalus viridis,18
Proud Globelet,Patera pennsylvanica,22
Pugnose Shiner,Notropis anogenus,2
Quebec Rockcress,Boechera quebecensis,10
Red Knot,Calidris cantus,2
Red-headed Woodpecker,Melanerpes erythrocephalus,37
Red-necked Phalarope,Phalaropus lobatus,27
Sable Island Sweat Bee,Lasioglossum sablense,17
Smoker's Lung Lichen,Lobaria retigera,19
Sonora Skipper,Polites sonora,2
Sowerby's beaked whale,Mesoplodon bidens,2
Speckled Dace,Rhinichthys osculus,27
Spiked saxifrage,Micranthes spicata,7
Spotted Turtle,Clemmys guttata,31
Streaked Horned Lark,Eremophila alpestris strigata,17
Striped Whitelip,Webbhelix multilineata,28
Tall Beakrush,Rhynchospora macrostachya,25
Tall Bugbane,Actaea elata,10
Tiny Tassel,Crossidium seriatum,15
Toothcup,Rotala ramosior,6
Transverse Lady Beetle,Coccinella transversoguttata,33
Vancouver Island marmot,Marmota vancouverensis,3
Vancouver Lamprey,Entosphenus macrostomus,38
Verna's flower moth,Schinia verna,13
Victorin's water-hemlock,Cicuta maculata var. victorinii,2
Vivid Dancer,Argia vivida,16
Western Painted Turtle,Chrysemys picta bellii,35
Western harvest mouse,Reithrodontomys megalotis,2
Western silvery minnow,Hybognathus argyritis,21
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,38
White Flower Moth,Schinia bimatris,10
Williamson's sapsucker,Sphyrapicus thyroideus,16
Yellow-banded Bumble Bee,Bombus terricola,31
Yucca moth,Tegeticula yuccasella,2
Yukon Podistera,Podistera yukonensis,6
Yukon wild buckwheat,Eriogonum flavum var. aquilinum,6
aurora trout,Salvelinus fontinalis timagamiensis,10
bear's-foot sanicle,Sanicula arctopoides,7
black-foam lichen,Anzia colpodes,20
blue ash,Fraxinus quadrangulata,20
blue-grey taildropper,Prophysaon coeruleum,6
bullsnake,Pituophis catenifer sayi,7
burrowing owl,Athene cunicularia,27
butternut,Juglans cinerea,37
caribou,Rangifer tarandus,41
chinook salmon,Oncorhynchus tshawytscha,28
colicroot,Aletris farinosa,9
common hoptree,Ptelea trifoliata,8
copper redhorse,Moxostoma hubbsi,2
deepwater sculpin,Myoxocephalus thompsonii,22
eastern banded tigersnail,Anguispira kochi kochi,27
eastern pondmussel,Ligumia nasuta,28
eastern wolf,Canis sp. cf. lycaon,28
eastern yellow-bellied racer,Coluber constrictor flaviventris,15
flooded jellyskin,Leptogium rivulare,25
giant helleborine,Epipactis gigantea,5
golden-eye lichen,Teloschistes chrysophthalmus,20
gray fox,Urocyon cinereoargenteus,39
green-scaled willow,Salix chlorolepis,2
grey whale,Eschrichtius robustus,41
harbour porpoise,Phocoena phocoena,2
harbour porpoise (Pacific Ocean population),Phocoena phocoena vomerina,31
hoptree borer,Prays atomocella,7
lake sturgeon,Acipenser fulvescens,40
lark bunting,Calamospiza melanocorys,21
lumpfish,Cyclopterus lumpus,29
mountain crab-eye,Acroscyphus sphaerophoroides,15
mudpuppy mussel Simpsonaias ambigua in Canada. by Ernest T. Watson,Janice L. Metcalfe-Smith,7
nine-spotted lady beetle,Coccinella novemnotata,34
northern map turtle,Graptemys geographica,2
northern rubber boa,Charina bottae,14
northern sunfish,Lepomis peltastes,14
on ,Ambystoma laterale (small-mouthed salamander−dependent population (Ambystoma laterale - texanum),36
peregrine falcon,Falco peregrinus,36
phantom orchid,Cephalanthera austiniae,10
polar bear,Ursus maritimus,3
pygmy pocket moss,Fissidens exilis,14
pygmy slug,Kootenaia burkei,9
pygmy whitefish,Prosopium coulterii,19
red crossbill percna subspecies,Loxia curvirostra percna,25
red mulberry,Morus rubra,5
redside dace,Clinostomus elongatus,15
river darter,Percina shumardi,13
roughhead grenadier,Macrourus berglax,2
round hickorynut,Obovaria subrotunda,5
round pigtoe,Pleurobema sintoxia,4
rusty blackbird,Euphagus carolinus,27
rusty cord-moss,Entosthodon rubiginosus,17
sea otter,Enhydra lutris,2
sheathed slug,Zacoleus idahoensis,7
shortface lanx,Fisherola nuttallii,14
shortfin mako,Isurus oxyrinchus,15
shortnose sturgeon,Acipenser brevirostrum,27
small white lady's-slipper,Cypripedium candidum,16
snuffbox Epioblasma triquetra in Canada. by Ernest T. Watson,Janice L. Metcalfe-Smith,12
sockeye salmon,Oncorhynchus nerka,39
spiny softshell,Apalone spinifera,16
spoon-leaved moss,Bryoandersonia illecebra,24
spotted gar,Lepisosteus oculatus,13
swift fox,Vulpes velox,2
warmouth,Lepomis gulosus,11
western prairie fringed orchid,Platanthera praeclara,22
western rattlesnake,Crotalus oreganus,19
white shark,Carcharodon carcharias,2
winter skate,Leucoraja ocellata,10
wrinkled shingle lichen,Pannaria lurida,18
NA,Acipenser fulvescens,29
NA,Callorhinus ursinus,2
NA,Chaetura pelagica,41
NA,NA,49
