common,latin,final.year,source,journal.pub.year,pub.title
Threaded Vertigo,Nearctula sp.,2010,Province of British Columbia,1999,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,NA,1998,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,The Canadian Entomologist,1993,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,Journal of Molluscan Studies,1979,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,Journal of Zoology,1998,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,Journal of Molluscan Studies,1997,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,Canadian Journal of Zoology,1990,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Threaded Vertigo,Nearctula sp.,2010,Reproduction,1984,"COSEWIC assessment and status report on the Threaded vertigo, Nearctula sp., in Canada .: CW69-14/607-2010E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,State of Maine,2022,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1955,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Environmental Biology of Fishes,1985,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of Applied Ichthyology,2002,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of Applied Ichthyology,2002,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,NA,1980,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1997,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Conservation Genetics,2021,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1995,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of the Fisheries Research Board of Canada,1959,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of Applied Ichthyology,2002,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1989,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1997,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,North American Journal of Fisheries Management,1997,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Estuaries,1986,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of Applied Ichthyology,2002,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1998,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Conservation Biology,1998,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,North American Journal of Fisheries Management,1984,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Canadian Journal of Zoology,1978,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Canadian Journal of Fisheries and Aquatic Sciences,2007,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Environmental Biology of Fishes,1997,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Northeastern Naturalist,2005,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,North American Journal of Fisheries Management,2001,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Copeia,1996,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
