common,latin,final.year,source,journal.pub.year,pub.title
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,Journal of the fisheries research board of canada,1962,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,Copeia,1952,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,Canadian journal of zoology,1989,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,Zoologica : scientific contributions of the new york zoological society,1939,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,Copeia,1987,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,Canadian journal of zoology,1984,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
"""Eastslope"" Sculpin",Cottus sp. in Canada,2005,American midland naturalist,1955,"COSEWIC assessment and status report on the ""Eastslope"" sculpin, Cottus sp. in Canada, St Mary and Milk River populations Committee on the Status of Endangered Wildlife in Canada.: CW69-14/432-2005E-PDF Publications - Canada.ca"
Acadian Flycatcher,Empidonax virescens,2010,International union for conservation of nature,2000,"COSEWIC assessment and status report on the Acadian Flycatcher, Empidonax virescens, in Canada .: CW69-14/5-2010E-PDF Publications - Canada.ca"
Acadian Flycatcher,Empidonax virescens,2010,Province of québec,2007,"COSEWIC assessment and status report on the Acadian Flycatcher, Empidonax virescens, in Canada .: CW69-14/5-2010E-PDF Publications - Canada.ca"
Acadian Flycatcher,Empidonax virescens,2010,Systematic zoology,1984,"COSEWIC assessment and status report on the Acadian Flycatcher, Empidonax virescens, in Canada .: CW69-14/5-2010E-PDF Publications - Canada.ca"
