common,latin,n.years
American eel,Anguilla rostrata,2
American marten,Martes americana atrata,2
Bering cisco,Coregonus laurettae,2
Bird's-foot violet,Viola pedata,2
Black redhorse,Moxostoma duquesnei,2
Blue shark,Prionace glauca,2
Bluehearts,Buchnera americana,2
Bocaccio,Sebastes paucispinis,2
Caribou,Rangifer tarandus,2
Channel darter,Percina copelandi,2
Chestnut-collared Longspur,Calcarius ornatus,2
Coho salmon,Oncorhynchus kisutch,2
Common Nighthawk,Chordeiles minor,2
Dromedary Jumping-slug,Hemphillia dromedarius,2
Eulachon,Thaleichthys pacificus,2
Gold-edged gem,Schinia avemensis,2
Kirtland's Warbler,Dendroica kirtlandii,2
Lake Erie watersnake,Nerodia sipedon insularum,2
Massasauga,Sistrurus catenatus,2
Monarch,Danaus plexippus,2
Mormon Metalmark,Apodemia mormo,2
Mountain Plover,Charadrius montanus,2
North Atlantic right whale,Eubalaena glacialis,2
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,2
Olive-sided Flycatcher,Contopus cooperi,2
Oregon Forestsnail,Allogona townsendiana,2
Peary caribou,Rangifer tarandus pearyi,2
Pugnose Shiner,Notropis anogenus,2
Red Knot,Calidris cantus,2
Red-headed Woodpecker,Melanerpes erythrocephalus,2
Sonora Skipper,Polites sonora,2
Sowerby's beaked whale,Mesoplodon bidens,2
Vancouver Island marmot,Marmota vancouverensis,3
Verna's flower moth,Schinia verna,2
Victorin's water-hemlock,Cicuta maculata var. victorinii,2
Western Painted Turtle,Chrysemys picta bellii,2
Western harvest mouse,Reithrodontomys megalotis,2
Western silvery minnow,Hybognathus argyritis,2
Williamson's sapsucker,Sphyrapicus thyroideus,2
Yucca moth,Tegeticula yuccasella,2
burrowing owl,Athene cunicularia,2
butternut,Juglans cinerea,2
caribou,Rangifer tarandus,2
chinook salmon,Oncorhynchus tshawytscha,2
copper redhorse,Moxostoma hubbsi,2
deepwater sculpin,Myoxocephalus thompsonii,2
flooded jellyskin,Leptogium rivulare,2
green-scaled willow,Salix chlorolepis,2
harbour porpoise,Phocoena phocoena,2
northern map turtle,Graptemys geographica,2
polar bear,Ursus maritimus,3
pygmy pocket moss,Fissidens exilis,2
redside dace,Clinostomus elongatus,2
roughhead grenadier,Macrourus berglax,2
rusty cord-moss,Entosthodon rubiginosus,2
sea otter,Enhydra lutris,2
shortfin mako,Isurus oxyrinchus,3
shortnose sturgeon,Acipenser brevirostrum,2
sockeye salmon,Oncorhynchus nerka,2
spoon-leaved moss,Bryoandersonia illecebra,2
spotted gar,Lepisosteus oculatus,2
swift fox,Vulpes velox,2
western rattlesnake,Crotalus oreganus,2
white shark,Carcharodon carcharias,2
NA,Callorhinus ursinus,2
NA,NA,6
